axis,cell,model,thinking,checkedBy,checkThinking,factBaseDepth,runs,attempts,uncachedUsdMedian,uncachedUsdMin,uncachedUsdMax,billedUsdMedian,billedUsdMin,billedUsdMax,inputTokensMedian,inputTokensMin,inputTokensMax,outputTokensMedian,outputTokensMin,outputTokensMax,renderReasoningMedian,renderReasoningMin,renderReasoningMax,durationSecondsMedian,durationSecondsMin,durationSecondsMax,flagsMedian,flagsMin,flagsMax,flagsTechnicalMedian,flagsTechnicalMin,flagsTechnicalMax,flagsCustomerMedian,flagsCustomerMin,flagsCustomerMax,notEvaluated,retries
A+B,gpt-6-luna-disabled,gpt-6-luna,disabled,checked by gpt-6-sol,disabled,title-and-description,3,3,0.051187,0.051019,0.051247,0.049331,0.049103,0.051187,43843,43823,44008,1893,1884,1999,0,0,0,31.982,30.459,34.576,4,3,4,1,1,1,3,2,3,0,0
A+B,gpt-6-sol-disabled,gpt-6-sol,disabled,checked by gpt-6-sol,disabled,title-and-description,3,3,0.104816,0.104672,0.10548,0.067163,0.066355,0.104816,43751,43713,43785,1739,1717,1791,0,0,0,40.178,38.608,40.27,3,3,4,1,1,2,2,2,2,0,0
A,gpt-6-luna-low,gpt-6-luna,low,checked by gpt-6-sol,disabled,title-and-description,3,3,0.05212,0.051145,0.053045,0.050204,0.049229,0.053045,43831,43732,43845,2683,2503,2978,803,644,926,43.415,39.32,45.093,4,3,5,1,1,1,3,2,4,0,0
A,gpt-6-luna-medium,gpt-6-luna,medium,checked by gpt-6-sol,disabled,title-and-description,3,3,0.054542,0.05145,0.054852,0.052626,0.05145,0.052936,43899,43798,43906,6937,4840,8341,4608,3074,6103,71.527,54.619,83.345,4,2,6,1,1,3,3,1,3,0,0
A,gpt-6-luna-high,gpt-6-luna,high,checked by gpt-6-sol,disabled,title-and-description,3,3,0.055184,0.055005,0.057401,0.055184,0.053089,0.055485,43938,43769,43990,10981,10307,13391,8879,8276,10994,128.357,124.052,137.061,3,3,4,1,1,1,2,2,3,0,0
A,gpt-6-sol-low,gpt-6-sol,low,checked by gpt-6-sol,disabled,title-and-description,3,3,0.105466,0.104358,0.106582,0.067149,0.066041,0.106582,43728,43709,43756,1801,1694,1907,69,63,76,48.051,46.768,51.045,4,2,5,2,1,3,2,1,2,0,0
A,gpt-6-sol-medium,gpt-6-sol,medium,checked by gpt-6-sol,disabled,title-and-description,3,3,0.118148,0.112378,0.128592,0.090275,0.079831,0.112378,43719,43711,43729,3069,2494,4117,1319,581,2167,76.032,69.399,94.429,3,3,3,1,1,1,2,2,2,0,0
A,gpt-6-sol-high,gpt-6-sol,high,checked by gpt-6-sol,disabled,title-and-description,3,3,0.170128,0.16349,0.185884,0.147567,0.131811,0.16349,43800,43764,43827,8260,7589,9823,6252,5510,7680,170.325,160.52,208.13,3,3,3,1,1,1,2,2,2,0,0
B,gpt-6-luna-checked-by-gpt-6-luna,gpt-6-luna,disabled,checked by gpt-6-luna,disabled,title-and-description,3,3,0.005372,0.005362,0.005399,0.003456,0.003446,0.005399,43819,43783,43865,1970,1967,2035,0,0,0,28.396,27.111,31.232,6,6,6,0,0,0,6,6,6,0,0
B,gpt-6-sol-checked-by-gpt-6-luna,gpt-6-sol,disabled,checked by gpt-6-luna,disabled,title-and-description,3,3,0.05954,0.059057,0.05981,0.021223,0.020741,0.05981,43750,43724,43802,1845,1818,2246,0,0,0,42.656,38.867,43.498,5,4,8,0,0,0,5,4,8,0,0
side,gpt-6-sol-disabled-no-thorough,gpt-6-sol,disabled,no thorough check,,title-and-description,3,3,0.057186,0.057026,0.057666,0.018869,0.018709,0.019349,21293,21293,21293,1460,1444,1508,0,0,0,33.943,32.969,35.105,0,0,0,0,0,0,0,0,0,0,0
side,gpt-6-sol-disabled-title-only,gpt-6-sol,disabled,checked by gpt-6-sol,disabled,title-only,3,3,0.022982,0.022962,0.022986,0.019597,0.019573,0.020275,5876,5836,5878,1123,1121,1131,0,0,0,28.712,26.357,29.591,1,1,2,0,0,0,1,1,2,0,0
local,qwen3-14b-checked-by-granite4.1-guardian-8b,qwen3:14b-ctx24k,disabled,checked by granite,disabled,title-and-description,3,4,0.0,0.0,0.0,0.0,0.0,0.0,44653,44512,45150,3339,1902,12603,,,,219.058,48.197,677.224,3,0,4,1,0,3,0,0,3,0,1
local,qwen3-14b-checked-by-qwen3-14b,qwen3:14b-ctx24k,disabled,checked by qwen3,disabled,title-and-description,3,3,0.0,0.0,0.0,0.0,0.0,0.0,45332,44938,45963,3013,2740,4175,,,,89.979,70.753,97.22,17,0,28,0,0,17,0,0,28,0,0
