cell,run,status,startedAt,toolVersion,openaiKey,model,thinking,thoroughCheck,checkModel,checkThinking,checkedBy,factBaseDepth,facts,renderInput,renderCached,renderOutput,renderReasoning,checkInput,checkCached,checkOutput,inputTokens,outputTokens,callsWithoutUsage,retries,billedUsd,uncachedUsd,durationSeconds,renderSeconds,checkSeconds,flags,flagsTechnical,flagsCustomer,ruleBasedFlags,thoroughFlags,notEvaluated,failedAudiences
gpt-6-luna-checked-by-gpt-6-luna,run-1,ok,2026-09-25T14:07:06+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-luna,disabled,checked by gpt-6-luna,title-and-description,18,21293,0,1552,0,22526,0,483,43819,2035,0,0,0.005399,0.005399,31.232,16.763,5.906,6,0,6,0,6,0,
gpt-6-luna-checked-by-gpt-6-luna,run-2,ok,2026-09-25T14:08:21+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-luna,disabled,checked by gpt-6-luna,title-and-description,18,21293,21287,1601,0,22572,0,369,43865,1970,0,0,0.003456,0.005372,28.396,15.373,4.692,6,0,6,0,6,0,
gpt-6-luna-checked-by-gpt-6-luna,run-3,ok,2026-09-25T14:09:29+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-luna,disabled,checked by gpt-6-luna,title-and-description,18,21293,21287,1516,0,22490,0,451,43783,1967,0,0,0.003446,0.005362,27.111,14.166,5.398,6,0,6,0,6,0,
gpt-6-luna-disabled,run-1,ok,2026-09-25T13:20:17+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,0,1576,0,22550,0,317,43843,1893,0,0,0.051187,0.051187,34.576,17.075,9.782,4,1,3,0,4,0,
gpt-6-luna-disabled,run-2,ok,2026-09-25T13:24:40+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,1740,0,22715,0,259,44008,1999,0,0,0.049103,0.051019,31.982,16.952,6.868,3,1,2,0,3,0,
gpt-6-luna-disabled,run-3,ok,2026-09-25T13:29:37+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,disabled,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,1556,0,22530,0,328,43823,1884,0,0,0.049331,0.051247,30.459,14.532,8.128,4,1,3,0,4,0,
gpt-6-luna-high,run-1,ok,2026-09-25T13:22:32+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,high,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,0,10706,8879,22476,0,275,43769,10981,0,0,0.055184,0.055184,128.357,112.283,7.653,3,1,2,0,3,0,
gpt-6-luna-high,run-2,ok,2026-09-25T13:27:20+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,high,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,13056,10994,22697,0,335,43990,13391,0,0,0.055485,0.057401,137.061,119.51,9.257,4,1,3,0,4,0,
gpt-6-luna-high,run-3,ok,2026-09-25T13:31:59+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,high,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,10051,8276,22645,0,256,43938,10307,0,0,0.053089,0.055005,124.052,107.538,7.937,3,1,2,0,3,0,
gpt-6-luna-low,run-1,ok,2026-09-25T13:20:51+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,low,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,0,2523,926,22552,0,455,43845,2978,0,0,0.053045,0.053045,45.093,25.794,11.114,4,1,3,0,4,0,
gpt-6-luna-low,run-2,ok,2026-09-25T13:25:12+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,low,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,2286,803,22439,0,397,43732,2683,0,0,0.050204,0.05212,43.415,23.92,11.204,5,1,4,0,5,0,
gpt-6-luna-low,run-3,ok,2026-09-25T13:30:08+00:00,0.1.0-preview.3+7620e6d95b62190d12f57ba345479b524674fea1,,gpt-6-luna,low,True,gpt-6-sol,disabled,checked by gpt-6-sol,title-and-description,18,21293,21287,2220,644,22538,0,283,43831,2503,0,0,0.049229,0.051145,39.32,22.38,8.179,3,1,2,0,3,0,
